TCGA-BA-4074-01	TCGA-BA-4076-01	TCGA-BA-4077-01	TCGA-BA-4078-01	TCGA-BA-5149-01	TCGA-BA-5151-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5555-01	TCGA-BA-5556-01	TCGA-BA-5557-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6868-01	TCGA-BA-6869-01	TCGA-BA-6870-01	TCGA-BA-6871-01	TCGA-BA-6872-01	TCGA-BA-6873-01	TCGA-BA-7269-01	TCGA-BB-4217-01	TCGA-BB-4223-01	TCGA-BB-4224-01	TCGA-BB-4225-01	TCGA-BB-4228-01	TCGA-CN-4723-01	TCGA-CN-4725-01	TCGA-CN-4726-01	TCGA-CN-4727-01	TCGA-CN-4728-01	TCGA-CN-4729-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4733-01	TCGA-CN-4735-01	TCGA-CN-4736-01	TCGA-CN-4737-01	TCGA-CN-4738-01	TCGA-CN-4739-01	TCGA-CN-4740-01	TCGA-CN-4741-01	TCGA-CN-4742-01	TCGA-CN-5355-01	TCGA-CN-5356-01	TCGA-CN-5359-01	TCGA-CN-5360-01	TCGA-CN-5363-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5366-01	TCGA-CN-5367-01	TCGA-CN-5369-01	TCGA-CN-5370-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6010-01	TCGA-CN-6011-01	TCGA-CN-6012-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6018-01	TCGA-CN-6019-01	TCGA-CN-6020-01	TCGA-CN-6021-01	TCGA-CN-6022-01	TCGA-CN-6023-01	TCGA-CN-6024-01	TCGA-CN-6988-01	TCGA-CN-6989-01	TCGA-CN-6992-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-6997-01	TCGA-CN-6998-01	TCGA-CQ-5323-01	TCGA-CQ-5324-01	TCGA-CQ-5325-01	TCGA-CQ-5326-01	TCGA-CQ-5329-01	TCGA-CQ-5330-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6220-01	TCGA-CQ-6221-01	TCGA-CQ-6223-01	TCGA-CQ-6224-01	TCGA-CQ-6225-01	TCGA-CQ-6228-01	TCGA-CQ-6229-01	TCGA-CQ-7065-01	TCGA-CQ-7068-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5250-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6472-01	TCGA-CR-6473-01	TCGA-CR-6474-01	TCGA-CR-6477-01	TCGA-CR-6478-01	TCGA-CR-6481-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6491-01	TCGA-CR-6492-01	TCGA-CR-6493-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7368-01	TCGA-CR-7370-01	TCGA-CR-7371-01	TCGA-CR-7373-01	TCGA-CR-7374-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7382-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7388-01	TCGA-CR-7389-01	TCGA-CR-7390-01	TCGA-CR-7391-01	TCGA-CR-7394-01	TCGA-CR-7395-01	TCGA-CR-7397-01	TCGA-CR-7398-01	TCGA-CR-7399-01	TCGA-CR-7401-01	TCGA-CR-7402-01	TCGA-CR-7404-01	TCGA-CV-5430-01	TCGA-CV-5431-01	TCGA-CV-5432-01	TCGA-CV-5434-01	TCGA-CV-5435-01	TCGA-CV-5436-01	TCGA-CV-5439-01	TCGA-CV-5440-01	TCGA-CV-5441-01	TCGA-CV-5442-01	TCGA-CV-5444-01	TCGA-CV-5966-01	TCGA-CV-5970-01	TCGA-CV-5971-01	TCGA-CV-5973-01	TCGA-CV-5976-01	TCGA-CV-5977-01	TCGA-CV-5978-01	TCGA-CV-5979-01	TCGA-CV-6003-01	TCGA-CV-6436-01	TCGA-CV-6441-01	TCGA-CV-6933-11	TCGA-CV-6933-01	TCGA-CV-6934-11	TCGA-CV-6934-01	TCGA-CV-6935-11	TCGA-CV-6935-01	TCGA-CV-6936-11	TCGA-CV-6936-01	TCGA-CV-6937-01	TCGA-CV-6938-11	TCGA-CV-6938-01	TCGA-CV-6939-11	TCGA-CV-6940-01	TCGA-CV-6941-01	TCGA-CV-6942-01	TCGA-CV-6943-11	TCGA-CV-6943-01	TCGA-CV-6945-01	TCGA-CV-6948-01	TCGA-CV-6950-01	TCGA-CV-6951-01	TCGA-CV-6952-01	TCGA-CV-6953-01	TCGA-CV-6954-01	TCGA-CV-6955-11	TCGA-CV-6955-01	TCGA-CV-6956-11	TCGA-CV-6956-01	TCGA-CV-6959-11	TCGA-CV-6959-01	TCGA-CV-6960-11	TCGA-CV-6960-01	TCGA-CV-6961-11	TCGA-CV-6961-01	TCGA-CV-6962-11	TCGA-CV-6962-01	TCGA-CV-7089-01	TCGA-CV-7090-01	TCGA-CV-7091-11	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-11	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7101-11	TCGA-CV-7101-01	TCGA-CV-7102-01	TCGA-CV-7103-11	TCGA-CV-7103-01	TCGA-CV-7104-01	TCGA-CV-7177-11	TCGA-CV-7177-01	TCGA-CV-7178-11	TCGA-CV-7178-01	TCGA-CV-7180-01	TCGA-CV-7183-11	TCGA-CV-7183-01	TCGA-CV-7235-11	TCGA-CV-7235-01	TCGA-CV-7236-01	TCGA-CV-7238-11	TCGA-CV-7238-01	TCGA-CV-7242-11	TCGA-CV-7242-01	TCGA-CV-7243-01	TCGA-CV-7245-11	TCGA-CV-7245-01	TCGA-CV-7247-01	TCGA-CV-7248-01	TCGA-CV-7250-11	TCGA-CV-7250-01	TCGA-CV-7252-11	TCGA-CV-7252-01	TCGA-CV-7253-01	TCGA-CV-7254-01	TCGA-CV-7255-11	TCGA-CV-7255-01	TCGA-CV-7261-11	TCGA-CV-7261-01	TCGA-CV-7263-01	TCGA-CV-7406-11	TCGA-CV-7406-01	TCGA-CV-7407-01	TCGA-CV-7410-01	TCGA-CV-7411-01	TCGA-CV-7413-01	TCGA-CV-7414-01	TCGA-CV-7415-01	TCGA-CV-7416-11	TCGA-CV-7416-01	TCGA-CV-7418-01	TCGA-CV-7422-01	TCGA-CV-7423-11	TCGA-CV-7423-01	TCGA-CV-7424-11	TCGA-CV-7424-01	TCGA-CV-7425-11	TCGA-CV-7427-01	TCGA-CV-7429-01	TCGA-CV-7430-01	TCGA-CV-7432-11	TCGA-CV-7432-01	TCGA-CV-7433-01	TCGA-CV-7434-11	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-7437-11	TCGA-CV-7437-01	TCGA-CV-7438-11	TCGA-CV-7438-01	TCGA-CV-7440-11	TCGA-CV-7440-01	TCGA-CX-7082-01	TCGA-CX-7085-01	TCGA-CX-7086-01	TCGA-CX-7219-01	TCGA-D6-6515-01	TCGA-D6-6516-01	TCGA-D6-6517-01	TCGA-D6-6823-01	TCGA-D6-6824-01	TCGA-D6-6825-01	TCGA-D6-6826-01	TCGA-DQ-5624-01	TCGA-DQ-5625-01	TCGA-DQ-5629-01	TCGA-DQ-5631-01	TCGA-DQ-7588-01	TCGA-DQ-7591-01	TCGA-DQ-7592-01	TCGA-F7-7848-01	TCGA-H7-7774-01	TCGA-H7-A6C4-11	TCGA-H7-A6C5-11	TCGA-HD-7229-01	TCGA-HD-7753-01	TCGA-HD-7754-01	TCGA-HD-8635-11	TCGA-HD-A6HZ-11	TCGA-HD-A6I0-11	TCGA-IQ-7630-01	TCGA-IQ-7631-01	TCGA-IQ-7632-01	TCGA-WA-A7GZ-11
DAZ1	9	0	0	663	0	0	1	0	0	0	0	0	4	1	0	7	58	0	0	0	20	4	1	1	1	1	2	8	1	2	3	8	5	1	182	0	2	0	0	2	117	0	1	187	0	0	1	3	0	1	2	6	0	0	0	1	0	3	0	0	0	1	22	0	5	0	0	0	0	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	2	1108	0	0	0	2	1	0	0	0	0	2778	0	5324	0	0	0	0	0	0	25	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	69	0	62	0	0	52	1	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	3	207	50	2058	0	0	0	0	0	8	0	132	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	31	0	0	0	0	0	2	0	5	0	0	0	0	0	0	20	19	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	3	0	0	33	0	0	0	0	0	0	0	0	0	1	42	0	4	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	1	2	0	2	3	0	1	0	0	0	18	0	1	0	0	0	0	27	0	0	0	0	0	0	0	1
DDX53	13	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	240	0	6	0	0	0	1	1	5	2	0	0	1	0	0	1	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	46	0	0	0	0	81	1	0	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	81	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	100	0	0	2	42	0	0	5	0	0	3	0	0	0	1	0	0	0	0	47	3	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
DEC1	183	0	3	33	42	27	0	0	8	6	0	7	0	44	5	0	0	6	4	0	6	0	8	0	0	7	186	5	0	1	2	1	8	28	2	0	10	0	0	5	0	18	8	4	6	0	78	0	1	7	14	3	8	2	0	0	19	0	2	0	0	1	4	2	1	3	16	0	16	4	6	1	39	2	0	0	0	0	1	29	0	5	0	10	0	1	19	15	1	2	3	24	0	0	2	0	1	1	0	0	1	24	23	5	0	1	0	0	41	25	2	2	1	0	32	1	21	1	7	23	14	0	1	19	0	3	3	66	19	4	2	2	12	0	3	55	5	1	1	1	4	1	6	1	0	0	10	3	1	1	1	0	0	5	8	1	3	56	0	0	0	13	0	10	0	1	1	0	8	0	0	0	1	1	4	2	3	23	38	20	6	22	0	1	4	0	0	0	0	18	2	81	2	3	2	1	1	7	0	2	2	0	10	27	2	1	3	6	0	6	18	27	0	2	4	6	2	3	0	1	43	0	16	1	15	1	1	104	10	27	0	0	0	0	37	1	1	1	2	4	45	1	6	2	53	0	13	9	32	2	7	3	0	0	31	0	1	0	2	0	12	0	23	5	0	1	6	3	0	4	4	1	1	6	9	10	0	29	4	3	17	39	15	16	1	0	7	14	69	0	1	12	0	1	1	115	244	4	1	0	0	2	0	0	1
GDF1	9.08	4.32	22.62	1.81	4	0	0	0	18	1.77	0	0	30.22	25.68	31.22	6.06	4.96	4.18	2	15.34	0	2	4	20.12	5.71	7.02	10.37	1.82	9.98	8.02	0	5.5	22.57	4.21	1.35	19.34	11.59	1.19	4.01	6.57	2.8	3.52	6.56	6.71	1.46	22.32	4.83	0	0	2.41	1.34	0	4.96	3.41	0	1.48	2.44	4.63	0	24.04	4.36	6.97	0	2.73	38.6	13.67	62.19	1.16	5.22	4.09	4.65	6	16.1	1.84	1.48	0	9.93	6.71	3.14	4.95	0	68.37	0	0	1	2.36	0	53.13	11.23	23.06	0	6.33	0	2	5.19	3	1.57	1	2	1.16	2	11.7	5.1	1.68	0	1	4.4	1.27	1	2	1.76	5.47	3.7	2.62	16.58	4.15	0	19.87	1.92	12.68	6.09	1.26	1.11	7.83	0	1.36	11.54	6.13	10.8	3.33	0	0	3.53	39.62	9.87	3.23	104.86	1.89	7.25	0	1.65	71	4.57	0	0	15.1	16.01	0	2.94	0	6.37	82.51	0	8.15	4.73	0	7	13.37	1	27.96	2.34	10.44	23.02	58.83	1.43	2.25	20.9	1.2	23.08	6.19	0	69.35	2.98	4.61	1.07	4.01	2.49	18.83	4.74	11.8	9.71	0	0	1.51	14.28	1	18.58	1.64	52.98	21.46	0	17.3	6.89	53.17	2.89	5.84	1.25	2	146.17	3	3.42	86.27	13.48	3	0	5.28	6.37	2.87	37.52	41.91	20.17	0	6.57	4.01	3.1	0	0	0	6.71	10.3	7.59	94.98	14.84	0	5.75	4.22	180.39	1.65	20.05	34.28	113.3	0	8.27	2.86	19	8.1	6.78	4.33	0	3.67	8.12	98.55	20.5	39.27	1.69	1.19	1.19	10.43	8.52	4.52	4.34	23.91	3.42	1.27	2.83	5.81	18.55	1.19	2.79	3.26	19	0	6	0	6.88	5.73	6.27	0	5.12	1.21	24.75	13.98	58.48	6.18	23.74	7.05	19.5	10.35	2.4	0	20.96	11.63	1.69	0	8.25	21.29	4.59	1.26	10.44	1.53	4.81	1.29	0	77.22	1.56	16.92	1.78	1.39	2.2	11.94	17.01	3.18	1.73	0	142.35
HOXC4	198.67	38.26	142.76	269.75	141.55	359.58	23	26.29	37	64	10	24.4	102.05	376.66	27	33	803.58	22	236.93	34	185.17	258.63	55.46	118.31	289.88	251.19	26.01	9	15	53.22	14.41	4	14	106	763.72	73.84	129.48	19	25	35	94.48	72.52	52.42	40	19	123.34	131.19	111.68	84.98	26.52	96.14	244.6	94.3	46.27	22	174.32	66.58	28.07	51	119.82	160.28	32	32	61	358.75	1100.76	89.75	4	105.43	83.71	17.42	350.7	504.08	189	72.02	80.75	29	94.13	74.93	36	50	173	74.93	30.07	39	217	78	116.9	20	35	33.16	94.09	226.76	127.58	30	101.02	243.93	28	64	8	8	41	61	233.95	36	61.83	58	138.36	50.35	56	45	89.34	44.76	14.5	100.91	160	150	299.2	131.45	184.97	28.5	69.38	306.67	89	5	54.76	67.22	108.56	15	29	29.4	71	14.73	111.98	338	58	255.19	35.2	248.05	165.15	142	273.12	99.3	34.66	102.59	109.37	18	13.18	79	525.78	17	70.24	72.37	86.77	180.18	83	97	43	28	262.38	8	63.58	22	437.88	37	32	4	92.82	103.21	68	38	2	101.8	88.43	165.5	0	108.68	303.81	368.12	142.68	64.15	174.27	23	31	54	33.84	1	60.64	5	131.37	19	12	2	100.67	37	142	413.4	43	1	12	62.61	12	80.15	168.27	32	1	176	200.32	6.18	7	169	27	52	43	290.5	17	7	21.33	11	68	90	3	202.01	34	284.59	167.58	46	28.54	254.81	95	156	22	0	92.87	7	35.1	2	15	34	94.93	21	1	25.28	20	171.99	29	207.46	147	220.39	3	112.01	392.57	158.67	13	112.75	18	262	50	13	598.45	38.31	6	30	112.44	4	65.28	51	14	200.87	18.81	118.28	14	210	93.19	43.99	5	166.95	221.46	57.29	152.68	32	127.54	145.51	68	139	162.81	32.47	354.72	22.45	243.18	19	37	81	0	14	148.42	126.99	11	5	0	19	222.16	3	17.25	3
IL28B	5	0	0	0	0	0	3	0	0	2	0	1	2	3	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	1	2	0	0	3	0	0	0	2	0	0	0	8	3	0	0	2	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	5	0	0	1	1	0	0	15	3	0	0	7	0	6	0	0	5	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	3	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	3	32	0	2	0	1	2	0	4	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	2	0	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	5	0	0	1	1	0	0	0	15	0	1	0	5	0	0	0	0	0	1	0	0	0	0	5	0	0	4	0	0	0	1	0	7	0	0	0	1	0	0	0	11	1	0	0	0	0	0	0	0	2	1	1	0	0	0	5	0	0	0	0	0	1	0	0	0
IL29	40	0	2	2	5	12	36	0	0	11	4	6	2	18	8	2	5	16	1	9	2	1	2	68	1	4	0	0	0	6	0	1	0	8	19	5	1	1	2	2	0	2	0	0	20	0	1	2	4	0	5	3	25	28	2	0	41	8	16	2	11	0	4	0	10	3	6	12	1	2	2	1	0	7	4	1	36	1	1	10	18	1	4	58	8	0	2	17	0	47	4	0	24	4	4	1	1	1	0	0	7	6	1	9	4	8	5	1	1	13	1	0	6	3	0	7	23	3	5	1	2	1	18	24	0	1	1	0	0	0	0	1	1	0	4	1	2	7	5	0	0	4	4	16	0	2	1	0	8	124	0	2	4	9	22	1	7	5	4	3	0	1	1	28	0	3	0	9	3	0	3	0	0	7	10	1	3	10	2	0	4	11	0	0	0	5	0	7	2	2	0	0	0	1	0	0	4	0	1	8	0	1	5	20	3	0	4	0	1	0	11	3	2	0	4	4	1	0	2	23	1	2	22	0	1	1	0	4	3	5	2	20	1	1	1	1	0	4	0	0	5	0	2	166	1	2	0	0	81	0	1	0	83	0	1	0	2	1	3	1	0	0	8	22	1	17	59	4	0	0	9	2	11	3	0	14	2	4	1	1	25	4	16	3	1	1	0	0	0	6	4	8	2	0	0	7	0	0	0	0	2	13	0	0	0
KREMEN2	1067	408	754	1557	1574	60	356	6480	3511	56	108	379	9353	3965	303	710	11152	947	2471	492	673	1294	114	6130	1996	928	419	109	1443	410	1013	2276	953	191	8649	336	86	491	999	330	725	346	647	1369	380	648	1266	835	1349	6463	1338	326	3470	370	73	207	608	484	121	145	538	81	316	302	560	53	439	307	89	64	93	1111	395	146	263	32	606	2106	467	70	654	187	780	958	198	15	97	178	702	1227	564	36	581	2781	782	302	2435	5309	140	28	238	1775	347	2588	532	480	1702	636	60	1165	578	174	1151	379	267	325	159	58	274	490	806	577	94	340	66	173	241	57	697	108	7	241	58	594	4718	425	6657	1284	4363	1304	742	625	764	308	565	241	8248	721	291	2663	629	66	1169	246	341	6	58	1277	559	567	23	1271	62	311	54	1601	188	209	1362	164	16	22	328	1812	77	99	185	1119	107	1980	260	714	105	815	175	55	190	1387	214	158	120	1862	153	1018	243	252	480	1256	10	1440	644	20	3337	126	265	13	194	206	546	254	495	67	156	174	468	115	12	154	16	321	103	52	282	183	629	1370	17	1271	2008	1277	58	347	61	826	754	106	145	488	225	52	192	36	48	586	439	152	2337	794	6867	136	171	296	568	510	248	25	69	69	18	308	160	11	389	1190	37	190	580	135	999	249	368	63	687	350	79	1761	314	1653	396	198	5966	177	218	1742	210	858	251	344	1354	7377	1541	345	110	163	21	249	147	54	60	78	132	817	15	429	10
KRT4	4	490	3564	712	24	181	11536	36536	6225	42749	4331	3014	68	1556	18416	34899	129	5	11	1801	148129	441	32815	2150	6092	5691	667	3403	6	1125	175755	41531	10396	875	33	175	5552	23793	46792	34597	6692	11426	24727	789	6429	4718	3	28918	453	583	751	3615	16167	835	27769	718	11	1612	399	6	46	33796	9405	57	704	271	524	23118	2073	10528	1204	38	31628	196	15	11867	3	55	96	63	303	1446	2026	24	500	43	1182	0	168829	12106	193	2459	11	4423	8284	2403	14202	198	1044	1124	17	316	7	56	4	5164	9	747	66302	6715	124080	344	2682	3752	10729	46490	929	2569	8407	98053	3422	142	3636	19417	9282	52	27035	17723	1062	959939	2593	19144	661662.32	15364	140	102086	3488	1661	6637	144	458	59	251	54	104507	226	635	78	2	359	116	237	4694	4764	264	3	105	2987	31560	3138	465	242	328838	69	2316819	26939	2131685	4	140	1656	7327	1286	39172	7014	44	2841665.5	16344	608	116652	109	6290	1518	4784	22037	9048	51484	205321	2815	467132	1311	922911	563	371743	459	3652314	22248	683336	49	501	13710	5995	5441	281	76277	56	1923751	29686	532	1928215.95	1461	1039	3341272.74	2083	315	1114	53861	4064541	74469	510	1757	50	1141764	151	2548043	12661	14	909503	3288	4350	319178	633831	3813	1690610.03	947	2998	6484	497865	11834	2524314	154	8221	969850	8197	164	60	302	894	620	2	1273742.62	87	114	378	1323987.99	1487	1912303.04	3418	5682	4920	8	208636	262	8289	32	222	3	6667	3107637	4739	1272907.1	902	361273	382	132	10729	23399	2098	1647	2016	61	2732	11013	60	1720	3724	9	158	16	239	588	4303	5231	211530	201221	998	14084	148	4230	170601	708478	1761	3853	333	67018	1639288
MAGEA1	2	0	3941	13	0	0	7696	1	0	1	0	2270	0	4325	8	5	0	1	0	19	0	0	0	9	5	3985	0	7	0	13	8	17	11	0	43	55	10	0	2	613	24	515	5	226	3824	0	0	13	1082	13	11	75	3	6	1451	18	0	15	172	1030	0	0	0	0	1645	3677	2	0	9	89	10	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	3589	0	12	0	0	0	0	0	0	0	0	3	0	51	0	0	36	0	0	0	0	0	0	0	6	0	0	0	587	7	0	3	0	10	3124	1	0	0	11	0	5	1272	0	0	0	0	1791	1	2	0	0	2	3	0	1	1	0	0	0	0	0	0	35	6	0	1	0	0	521	0	0	28	0	0	0	34	0	0	0	0	14	1247	7	0	0	0	0	3	0	0	3	68	254	0	2	0	0	0	0	0	0	2627	0	128	0	0	1	11036	0	10	0	3	0	0	0	0	0	591	0	1	82	5	0	0	0	1	0	0	15	0	0	0	0	2426	134	1	540	0	0	0	0	0	1	3809	0	39	0	84	0	0	0	15	0	0	0	0	834	0	0	0	35	1	1452	0	643	46	0	58	46	0	55	21	0	4706	1	0	5	0	0	0	5	0	2027	0	0	0	0	8	0	2814	128	0	0	96	0	0	0	1	1944	0	336	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
MATN3	991	66	60	335	140	257	221	45	22	61	96	20	123	666	15	30	190	66	89	265	39	44	15	35	131	170	545	116	40	797	65	1418	156	68	1334	152	301	25	72	920	96	392	201	258	1318	44	48	45	17	228	28	88	328	61	16	49	26	37	18	252	621	941	96	73	357	112	76	82	680	255	525	378	234	67	29	60	19	172	932	219	25	1011	66	25	57	79	60	478	16	69	146	161	43	61	914	5	78	131	124	28	30	744	79	99	38	174	39	54	39	656	51	100	275	55	102	61	288	41	185	213	234	132	716	180	5	195	46	56	317	43	89	54	374	80	148	91	23	42	635	82	35	948	390	32	12	51	146	9	274	215	91	202	37	76	40	174	294	218	14	14	21	112	4	2096	18	84	16	39	86	100	10	25	80	319	68	15	282	101	316	900	30	136	18	93	61	7	11	32	27	420	2	117	27	322	10	30	67	125	15	148	99	77	84	20	222	24	84	163	23	845	90	10	436	37	626	509	14	44	101	470	123	51	46	14	38	181	23	82	201	186	12	35	7	32	23	599	9	228	20	133	209	11	115	48	101	80	163	694	179	11	198	235	149	6	195	8	340	58	15	196	36	58	15	156	60	23	700	1	90	16	415	15	1440	41	98	25	144	224	17	450	317	119	81	96	441	36	44	2311	24	27	112	34	10	12	30	66	212	421	6	11	31	74	423	58	10
MMP13	4923	2398	14500	3886	13718	762	41117	39	131	1312	12734	407	442	591739	59	123438	398	15116	40462	53991	4309	45	9019	107	49	50753	10254	4942	104	8677	3919	195	2166	10225	1007	7834	7006	1057	159	16263	692	7177	30433	76	4621	98	628	6268	11199	23331	1354	449	8408	33314	45	123	754	51	492	75455	5964	4517	139640	9	2103	321	1438	338	8235	111	7134	146	3627	312	49	700	10169	2758	2009	8024	200	1034	5275	51355	101	479961	410	16877	224	1578	9420	6725	5014	493	3201	1	350	444	172	320	78	77479	1876	1350	45	3802	1	1106	2732	1015	7900	2106	19558	1060	356	423	1908	544	26947	10132	10259	2958	4171	6055	37	27777	687	3887	790	1682	946	1137	2964	1750	173	47924	116	955	75	410	256	5966	453	1402	746	158	31836	9	20814	860	1700	675	2291	104905	914	7969	2232	2019	663	1091	4	4082	42	53614	9	3287	7	202	710	15	2146	1	761	1571	8523	7	35612	1541	171	104476	1532	29671	26	67981.08	1273	215	13	359	12	1471	9	15335	1	822	555	35	154	1554	10	2827	4735	58	933	17196	711	20	552	1147	11	226	51655	113	3232	7	470	19	0	423	67	40829	38338	7	134804	11	309	1097	0	1932	8813	587	6	130	6	17573	8	3027	50	444	3	406	1971	28	3510	327	7827	12949	149379.15	4352	91117	2	5175	798	681	156	1468	66	7483	173	481	4588	659	15	1519	17888	46	2425	6289	15	3045	1700	16001	1678	51	439	1490	110	3545	2749	129	7830	3234	5710	2100	2128	16966	19459	753	466	1558	29	398	508	93	1	153	480	28016	4865	0	1	103	1545	654	10747	3
MMP8	52	3	12	8	2	113	2	0	11	0	1990	4	6	26	2	3	12	13	1	3	5	11	34	4	34	7	7	64	4	302	12	8	14	3	8	27	88	1	2	129	2	10	4	7	6	35	1	109	18	21	5	4	60	9	0	2	0	7	1	8	188	204	21	4	23	0	10	6	96	15	45	13	19	2	1	0	1	188	24	10	16	14	12	16	1	2	7	9	17	171	17	0	2	8	62	0	0	1	0	2	5	32	256	16	1	166	0	1	2	11	1	6	98	20	6	7	2	0	243	1	25	2	59	10	0	39	27	4	27	19	2	4	20	17	7	8	3	35	2	1	1	226	2	6	1	0	6	1	28	4	2	6	3	10	6	887	8	2	12	1	0	708	3	58	1	4	3	4	4	1	11	0	7	25	18	0	33	0	5	142	3	3	3	161	0	1	0	26	1	23	0	109	0	12	4	49	1	137	0	9	2	5	162	55	0	1	49	7	2	7	10	1	21	2	20	0	0	0	56	4	3	2	53	3	0	5	27	23	40	32	0	16	0	14	13	16	0	12	0	20	144	0	30	2	24	7	11	1	8	0	138	2	102	0	6	0	12	0	0	8	5	49	10	17	1	6	22	0	22	1	117	1	5	29	55	1	83	2	0	3	11	24	19	529	0	0	5	18	19	1	0	26	0	2	1	7	26	336	0	4	15	10	7	13	0
NPW	227	21	135	1	22	5	82	10	173	5	27	5	57	728	282	18	591	67	18	1001	223	135	63	158	186	91	12	2	46	29	145	384	100	5	8	1	43	30	111	309	22	15	82	23	58	8	10	6	3	2	8	2	40	11	356	29	1	21	7	28	6	9	5	74	160	5	98	270	19	63	45	58	63	0	126	5	3	98	62	1	66	315	229	28	11	6	35	1	250	29	10	6	10	145	166	95	13	15	12	49	12	113	91	103	34	4	110	139	32	21	16	34	565	97	127	54	5	426	2	10	209	25	2	142	66	3	62	2	231	5	3	14	4	344	78	16	206	27	37	154	185	616	10	15	100	49	311	24	4	6	53	1	9	8	54	0	5	57	78	285	7	114	34	63	10	2	9	29	689	28	1	0	63	195	1	2	41	135	21	27	37	1	4	277	27	19	7	29	0	4	8	175	15	414	20	12	13	2	0	108	62	1	0	10	1	6	15	2	18	13	16	2	7	5	22	20	1	6	4	46	5	5	131	7	52	15	3	21	71	71	9	9	4	24	22	13	28	7	7	10	95	8	6	38	13	16	37	167	367	22	7	60	59	15	4	8	8	17	2	17	66	0	3	48	8	1	59	12	1	13	30	26	483	266	7	241	778	9	260	2	2299	7	24	0	40	32	8	0	63	51	48	159	7	6	21	5	12	62	5	6	18	4	146	50	0
